error,in_original,in_import
Incorrect decomposition IfcProject,Only single IfcProject,"project #7=IfcProject('13wgq_5dL2zBQHLeOBYcly',#1,'default project',$,$,$,$,(#12),#8) is incorrectly added and no decomposition"
different GUID,20FpTZCqJy2vhVJYtjuIce,0FVKnNgfXFq9Z6WLhsquF5
Different number of buildings in site,1,28
Mismatch in building GUID,00tMo7QcxqWdIGvc4sMN2A,3famIPE915HAYLkGVRgnKc
different GUID,00tMo7QcxqWdIGvc4sMN2A,3famIPE915HAYLkGVRgnKc
Mismatch in storey GUID,1Q6PG1Po9C5hoyWBnJmRby,2RM1AVv9H8beSmAziDkd5A
Mismatch in storey name,-1 fundering,IfcBuildingStorey - -1 fundering
different GUID,1Q6PG1Po9C5hoyWBnJmRby,2RM1AVv9H8beSmAziDkd5A
different name,-1 fundering,IfcBuildingStorey - -1 fundering
different GUID,3vSAOyJwTEhQMEIJ6D9qRY,3DwrJhsfHE4xRP$4hB6l4X
different name,liftputwand,IfcBeam - liftputwand
different GUID,1a49H1hof5wg_s62YvIj$u,07fIt9ZbnA_hLfMN5LeLU0
different name,fund_strook,IfcBeam - fund_strook
different GUID,2501ntWb95m8MEJo4qrYny,2Sd$p5j99EPgzsS6fNNdio
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,1HNUZLqr52MQIS8JLIpeyr,06KtQSsQ5AiObt92s5AwCF
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,3yL4PuBWf5GQngGRpOzQj0,1s$waCIJTBzOyUD2MaeURI
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,2CVrp1qDn4igzjEOaRy1At,3jDrE_VDDClQgmzCMCzu5d
different name,liftputwand,IfcBeam - liftputwand
different GUID,1c9iYd1ID6_8SdfF0_$1oL,0HsjCUZIP5PBlZsbC$w82S
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,3rCiBKKhrDwwbew3HLeWaY,3dQGPqg7v3KBUXI48aQ4j7
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,24n0GKaSvFeRV3aNSSwJju,0ytEiXS0D6aPbdQgOrWqB1
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,1OnyTz3nHAl89yfXGn_mxA,3e0VMO37TAqe4O1uyt4wnN
different name,liftputwand,IfcBeam - liftputwand
different GUID,0dG$USXzf0kfosAbNzx0hZ,0UXtmhXdjAwveWU8vh9gbD
different name,fund_opstort,IfcBeam - fund_opstort
different GUID,2ccM307sn8XeBTwsFKE_pR,0QYAM_vfjAJh1MdG4Y7yF9
